question_no,question_text,option_1,option_2,option_3,option_4,correct_answer,note
1,,,,,,,이미지로 인해 텍스트 추출 불가
2,,,,,,,이미지로 인해 텍스트 추출 불가
3,,,,,,,이미지로 인해 텍스트 추출 불가
4,,,,,,,이미지로 인해 텍스트 추출 불가
5,,,,,,,이미지로 인해 텍스트 추출 불가
6,,,,,,,이미지로 인해 텍스트 추출 불가
7,,,,,,,이미지로 인해 텍스트 추출 불가
8,,,,,,,이미지로 인해 텍스트 추출 불가
9,,,,,,,이미지로 인해 텍스트 추출 불가
10,,,,,,,이미지로 인해 텍스트 추출 불가
11,,,,,,,이미지로 인해 텍스트 추출 불가
12,,,,,,,이미지로 인해 텍스트 추출 불가
13,,,,,,,이미지로 인해 텍스트 추출 불가
14,,,,,,,이미지로 인해 텍스트 추출 불가
15,,,,,,,이미지로 인해 텍스트 추출 불가
16,,,,,,,이미지로 인해 텍스트 추출 불가
17,,,,,,,이미지로 인해 텍스트 추출 불가
18,,,,,,,이미지로 인해 텍스트 추출 불가
19,,,,,,,이미지로 인해 텍스트 추출 불가
20,,,,,,,이미지로 인해 텍스트 추출 불가
21,,,,,,,이미지로 인해 텍스트 추출 불가
22,,,,,,,이미지로 인해 텍스트 추출 불가
23,,,,,,,이미지로 인해 텍스트 추출 불가
24,,,,,,,이미지로 인해 텍스트 추출 불가
25,,,,,,,이미지로 인해 텍스트 추출 불가
26,,,,,,,이미지로 인해 텍스트 추출 불가
27,,,,,,,이미지로 인해 텍스트 추출 불가
28,,,,,,,이미지로 인해 텍스트 추출 불가
29,,,,,,,이미지로 인해 텍스트 추출 불가
30,,,,,,,이미지로 인해 텍스트 추출 불가
31,,,,,,,이미지로 인해 텍스트 추출 불가
32,,,,,,,이미지로 인해 텍스트 추출 불가
33,,,,,,,이미지로 인해 텍스트 추출 불가
34,,,,,,,이미지로 인해 텍스트 추출 불가
35,,,,,,,이미지로 인해 텍스트 추출 불가
36,,,,,,,이미지로 인해 텍스트 추출 불가
37,,,,,,,이미지로 인해 텍스트 추출 불가
38,,,,,,,이미지로 인해 텍스트 추출 불가
39,,,,,,,이미지로 인해 텍스트 추출 불가
40,,,,,,,이미지로 인해 텍스트 추출 불가
41,,,,,,,이미지로 인해 텍스트 추출 불가
42,,,,,,,이미지로 인해 텍스트 추출 불가
43,,,,,,,이미지로 인해 텍스트 추출 불가
44,,,,,,,이미지로 인해 텍스트 추출 불가
45,,,,,,,이미지로 인해 텍스트 추출 불가
46,,,,,,,이미지로 인해 텍스트 추출 불가
47,,,,,,,이미지로 인해 텍스트 추출 불가
48,,,,,,,이미지로 인해 텍스트 추출 불가
49,,,,,,,이미지로 인해 텍스트 추출 불가
50,,,,,,,이미지로 인해 텍스트 추출 불가
51,,,,,,,이미지로 인해 텍스트 추출 불가
52,,,,,,,이미지로 인해 텍스트 추출 불가
53,,,,,,,이미지로 인해 텍스트 추출 불가
54,,,,,,,이미지로 인해 텍스트 추출 불가
55,,,,,,,이미지로 인해 텍스트 추출 불가
56,,,,,,,이미지로 인해 텍스트 추출 불가
57,,,,,,,이미지로 인해 텍스트 추출 불가
58,,,,,,,이미지로 인해 텍스트 추출 불가
59,,,,,,,이미지로 인해 텍스트 추출 불가
60,,,,,,,이미지로 인해 텍스트 추출 불가
61,,,,,,,이미지로 인해 텍스트 추출 불가
62,,,,,,,이미지로 인해 텍스트 추출 불가
63,,,,,,,이미지로 인해 텍스트 추출 불가
64,,,,,,,이미지로 인해 텍스트 추출 불가
65,,,,,,,이미지로 인해 텍스트 추출 불가
66,,,,,,,이미지로 인해 텍스트 추출 불가
67,,,,,,,이미지로 인해 텍스트 추출 불가
68,,,,,,,이미지로 인해 텍스트 추출 불가
69,,,,,,,이미지로 인해 텍스트 추출 불가
70,,,,,,,이미지로 인해 텍스트 추출 불가
71,,,,,,,이미지로 인해 텍스트 추출 불가
72,,,,,,,이미지로 인해 텍스트 추출 불가
73,,,,,,,이미지로 인해 텍스트 추출 불가
74,,,,,,,이미지로 인해 텍스트 추출 불가
75,,,,,,,이미지로 인해 텍스트 추출 불가
76,,,,,,,이미지로 인해 텍스트 추출 불가
77,,,,,,,이미지로 인해 텍스트 추출 불가
78,,,,,,,이미지로 인해 텍스트 추출 불가
79,,,,,,,이미지로 인해 텍스트 추출 불가
80,,,,,,,이미지로 인해 텍스트 추출 불가
81,,,,,,,이미지로 인해 텍스트 추출 불가
82,,,,,,,이미지로 인해 텍스트 추출 불가
83,,,,,,,이미지로 인해 텍스트 추출 불가
84,,,,,,,이미지로 인해 텍스트 추출 불가
85,,,,,,,이미지로 인해 텍스트 추출 불가
86,,,,,,,이미지로 인해 텍스트 추출 불가
87,,,,,,,이미지로 인해 텍스트 추출 불가
88,,,,,,,이미지로 인해 텍스트 추출 불가
89,,,,,,,이미지로 인해 텍스트 추출 불가
90,,,,,,,이미지로 인해 텍스트 추출 불가
91,,,,,,,이미지로 인해 텍스트 추출 불가
92,,,,,,,이미지로 인해 텍스트 추출 불가
93,,,,,,,이미지로 인해 텍스트 추출 불가
94,,,,,,,이미지로 인해 텍스트 추출 불가
95,,,,,,,이미지로 인해 텍스트 추출 불가
96,,,,,,,이미지로 인해 텍스트 추출 불가
97,,,,,,,이미지로 인해 텍스트 추출 불가
98,,,,,,,이미지로 인해 텍스트 추출 불가
99,,,,,,,이미지로 인해 텍스트 추출 불가
100,,,,,,,이미지로 인해 텍스트 추출 불가
